LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-75.2111922,39.9546267,218,BUCKINGHAM PL,,,,,19104,272138500,d39bfecdfeee13c8
-75.2089208,39.9701395,4219,WESTMINSTER AVE,,,,,19104,886810101,ad00b88c396daed4
-75.2020949,39.9648212,3957,MELON ST,,,,,19104,242225300,b0a4585e7e470932
-75.2049099,39.9678655,4027,RENO ST,,,,,19104,062045200,a80eadb3e9489585
-75.2117809,39.9649703,715,N 45TH ST,,,,,19104,062358915,77d2defcfc989b9a
-75.203041,39.9696875,3955,OGDEN ST,,,,,19104,243146100,5d000a2aab7c4002
-75.2021592,39.9676616,3947,BROWN ST,,,,,19104,243123300,1d130d6f4047796a
-75.2117503,39.9562661,118,S 45TH ST,,,,,19104,601071600,03a0ac677cc19647
-75.1890097,39.9638928,523,N NATRONA ST,,,,,19104,886550500,092c4acbb1e311ed
-75.2058238,39.9586405,4114,POWELTON AVE,,,,,19104,061014500,cc2dd55fef9cbde5
-75.1958782,39.9640999,623,N 37TH ST,,,,,19104,242176200,2e5988935ceccbfa
-75.2090781,39.9666875,4222,BROWN ST,,,,,19104,061157900,9d97f2ec212c85e0
-75.2112444,39.9650085,706,N 44TH ST,,,,,19104,061301860,ac756c85ab95451e
-75.2074148,39.9668975,739,N 42ND ST,,,,,19104,061249900,27b8935d222c9ec3
-75.2006507,39.9649543,3911,MELON ST,,,,,19104,242223900,137504ab58bdd88e
-75.2009048,39.9663065,3918,ASPEN ST,,,,,19104,243038900,f3c1c99e1b66f4b2
-75.2007669,39.9655818,3919,FAIRMOUNT AVE,,,,,19104,243015900,be94a3ab48f90fcb
-75.2090292,39.9706558,4219,PENNSGROVE ST,,,,,19104,886810116,d781af9ba88d9dc6
-75.205271,39.9656216,723,N 41ST ST,,,,,19104,061218600,8a6f8cf393863873
-75.2032697,39.9585653,33,N PRESTON ST,,,,,19104,061181200,0c32e98a9ae6df4b
-75.2038472,39.9632657,623,N PRESTON ST,,,,,19104,061184700,855d943704be3842
